team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds,pos_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type,fumblesRecovered,opponentOffensiveRank
CIN,0.6,0,1.8,41.9,0.6,0.8,0.1,31,31,0,165,373,373,4.8,4.8,CBS,0506,DST,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.4,0,1.2,42.9,0.5,0.7,0.1,29.5,29.5,0,115,364,364,3.6,3.6,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,NA,3,58,1,NA,0,363,NA,NA,NA,363,NA,NA,NA,ESPN,0510,DST,-16023,Steelers D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,1,NA,3,61,0,NA,0,302,NA,NA,NA,302,NA,NA,NA,ESPN,0511,DST,-16007,Broncos D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1,NA,2,60,1,NA,0,347,NA,NA,NA,347,NA,NA,NA,ESPN,0532,DST,-16034,Texans D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,NA,3,61,0,NA,0,338,NA,NA,NA,338,NA,NA,NA,ESPN,0531,DST,-16033,Ravens D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1,NA,2,64,1,NA,0,370,NA,NA,NA,370,NA,NA,NA,ESPN,0524,DST,-16016,Vikings D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,1,NA,3,60,0,NA,0,298,NA,NA,NA,298,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,1,NA,2,58,1,NA,0,348,NA,NA,NA,348,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1,NA,2,63,0,NA,0,323,NA,NA,NA,323,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1,NA,2,59,0,NA,0,340,NA,NA,NA,340,NA,NA,NA,ESPN,0502,DST,-16011,Colts D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1,NA,2,60,1,NA,0,357,NA,NA,NA,357,NA,NA,NA,ESPN,0518,DST,-16021,Eagles D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1,NA,2,62,1,NA,0,336,NA,NA,NA,336,NA,NA,NA,ESPN,0501,DST,-16002,Bills D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,1,NA,2,64,0,NA,0,333,NA,NA,NA,333,NA,NA,NA,ESPN,0505,DST,-16020,Jets D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,1,NA,3,60,0,NA,0,420,NA,NA,NA,420,NA,NA,NA,ESPN,0517,DST,-16019,Giants D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,1,NA,3,60,0,NA,0,356,NA,NA,NA,356,NA,NA,NA,ESPN,0525,DST,-16027,Buccaneers D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,1,NA,2,59,0,NA,0,341,NA,NA,NA,341,NA,NA,NA,ESPN,0519,DST,-16022,Cardinals D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,1,NA,2,64,0,NA,0,357,NA,NA,NA,357,NA,NA,NA,ESPN,0523,DST,-16009,Packers D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,1,NA,2,65,0,NA,0,373,NA,NA,NA,373,NA,NA,NA,ESPN,0512,DST,-16012,Chiefs D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0,NA,3,61,1,NA,0,359,NA,NA,NA,359,NA,NA,NA,ESPN,0521,DST,-16003,Bears D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1,NA,2,59,1,NA,0,278,NA,NA,NA,278,NA,NA,NA,ESPN,0528,DST,-16014,Rams D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,NA,3,58,0,NA,0,289,NA,NA,NA,289,NA,NA,NA,ESPN,0509,DST,-16030,Jaguars D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1,NA,2,59,0,NA,0,306,NA,NA,NA,306,NA,NA,NA,ESPN,0530,DST,-16025,49ers D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1,NA,3,60,0,NA,0,299,NA,NA,NA,299,NA,NA,NA,ESPN,0514,DST,-16024,Chargers D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1,NA,2,61,1,NA,0,380,NA,NA,NA,380,NA,NA,NA,ESPN,0516,DST,-16006,Cowboys D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1,NA,2,65,1,NA,0,337,NA,NA,NA,337,NA,NA,NA,ESPN,0503,DST,-16015,Dolphins D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,NA,2,58,0,NA,0,352,NA,NA,NA,352,NA,NA,NA,ESPN,0508,DST,-16010,Titans D/ST,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,1,NA,3,60,0,NA,0,340,NA,NA,NA,340,NA,NA,NA,ESPN,0526,DST,-16001,Falcons D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,NA,2,63,1,NA,0,376,NA,NA,NA,376,NA,NA,NA,ESPN,0507,DST,-16005,Browns D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,1,NA,1,63,0,NA,0,398,NA,NA,NA,398,NA,NA,NA,ESPN,0520,DST,-16028,Commanders D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,NA,2,59,0,NA,0,331,NA,NA,NA,331,NA,NA,NA,ESPN,0529,DST,-16018,Saints D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1,NA,2,65,0,NA,0,407,NA,NA,NA,407,NA,NA,NA,ESPN,0506,DST,-16004,Bengals D/ST,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,1,NA,3,62,0,NA,0,332,NA,NA,NA,332,NA,NA,NA,ESPN,0513,DST,-16013,Raiders D/ST,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0,NA,2,61,0,NA,0,381,NA,NA,NA,381,NA,NA,NA,ESPN,0527,DST,-16029,Panthers D/ST,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.7,NA,0.5,0.7,0.2,15.9,NA,NA,NA,274,NA,9.3,NA,FantasyPros,0515,DST,8260,Seattle Seahawks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.8,NA,0.5,0.7,0.2,15.6,NA,NA,NA,284.5,NA,8.9,NA,FantasyPros,0514,DST,8250,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,3.6,NA,0.6,0.9,0.2,19.3,NA,NA,NA,298.7,NA,8.5,NA,FantasyPros,0511,DST,8090,Denver Broncos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.7,1,0.2,18.1,NA,NA,NA,294.6,NA,7.4,NA,FantasyPros,0528,DST,8280,Los Angeles Rams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.7,1.1,0.2,19.6,NA,NA,NA,330,NA,7.1,NA,FantasyPros,0503,DST,8160,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.3,NA,0.6,0.9,0.1,20.7,NA,NA,NA,305.9,NA,6.8,NA,FantasyPros,0526,DST,8010,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3,NA,0.5,1,0.2,22.1,NA,NA,NA,333.7,NA,6.5,NA,FantasyPros,0507,DST,8070,Cleveland Browns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3,NA,0.6,0.9,0.2,20.4,NA,NA,NA,286.7,NA,6.5,NA,FantasyPros,0509,DST,8140,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.9,NA,0.6,0.9,0.1,22.3,NA,NA,NA,342.2,NA,6.2,NA,FantasyPros,0525,DST,8290,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.6,1,0.2,21.7,NA,NA,NA,311.9,NA,6.1,NA,FantasyPros,0501,DST,8030,Buffalo Bills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.5,0.9,0.2,24.3,NA,NA,NA,360.9,NA,6.1,NA,FantasyPros,0532,DST,8120,Houston Texans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.7,0.2,20.3,NA,NA,NA,312.6,NA,6.1,NA,FantasyPros,0504,DST,8180,New England Patriots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0.1,2.7,NA,0.5,0.7,0.2,23.2,NA,NA,NA,340.6,NA,6.1,NA,FantasyPros,0523,DST,8110,Green Bay Packers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.5,0.9,0.2,20.5,NA,NA,NA,315.8,NA,6.1,NA,FantasyPros,0531,DST,8020,Baltimore Ravens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.6,1.1,0.2,24.7,NA,NA,NA,357.4,NA,6,NA,FantasyPros,0510,DST,8240,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.5,0.8,0.2,22.1,NA,NA,NA,341,NA,5.9,NA,FantasyPros,0522,DST,8100,Detroit Lions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.2,NA,0.5,1,0.2,23.3,NA,NA,NA,361.1,NA,5.9,NA,FantasyPros,0512,DST,8150,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.6,0.9,0.2,20.6,NA,NA,NA,335.2,NA,5.8,NA,FantasyPros,0518,DST,8230,Philadelphia Eagles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,1.1,0.1,25.2,NA,NA,NA,346.9,NA,5.8,NA,FantasyPros,0524,DST,8170,Minnesota Vikings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.6,NA,0.4,0.8,0.1,23,NA,NA,NA,327.9,NA,5.8,NA,FantasyPros,0513,DST,8220,Las Vegas Raiders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,3,NA,0.5,0.8,0.1,28,NA,NA,NA,392.2,NA,5.8,NA,FantasyPros,0517,DST,8200,New York Giants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.5,0.8,0.2,20.4,NA,NA,NA,300.5,NA,5.8,NA,FantasyPros,0530,DST,8270,San Francisco 49ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.3,NA,0.5,0.7,0.1,24,NA,NA,NA,353.3,NA,5.7,NA,FantasyPros,0505,DST,8210,New York Jets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.7,0.1,22.4,NA,NA,NA,333.8,NA,5.7,NA,FantasyPros,0502,DST,8130,Indianapolis Colts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.5,0.7,0.1,22.8,NA,NA,NA,333,NA,5.6,NA,FantasyPros,0529,DST,8190,New Orleans Saints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.3,NA,0.5,0.9,0.1,25.6,NA,NA,NA,338,NA,5.6,NA,FantasyPros,0519,DST,8000,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.5,0.7,0.1,25.3,NA,NA,NA,351.1,NA,5.5,NA,FantasyPros,0508,DST,8300,Tennessee Titans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.5,NA,0.6,1,0.1,24.9,NA,NA,NA,345.2,NA,5.4,NA,FantasyPros,0521,DST,8050,Chicago Bears,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.5,NA,0.4,0.7,0.1,26.1,NA,NA,NA,369.2,NA,5.3,NA,FantasyPros,0516,DST,8080,Dallas Cowboys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.4,NA,0.5,0.6,0.1,27.8,NA,NA,NA,386.2,NA,5.2,NA,FantasyPros,0506,DST,8060,Cincinnati Bengals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.5,NA,0.5,0.7,0.1,25.1,NA,NA,NA,378.4,NA,4.4,NA,FantasyPros,0520,DST,8310,Washington Commanders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,1.7,NA,0.4,0.6,0.1,28,NA,NA,NA,379.1,NA,4.1,NA,FantasyPros,0527,DST,8040,Carolina Panthers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,1.1,NA,3.7,NA,0.5,0.7,0.2,15.9,NA,NA,NA,274,NA,12.95,NA,FleaFlicker,0515,DST,2354,Seattle Seahawks,NA,8,MINSun 4:05 PM,D/ST4,0,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1.1,NA,3.8,NA,0.5,0.7,0.2,15.6,NA,NA,NA,284.5,NA,12.8,NA,FleaFlicker,0514,DST,2353,Los Angeles Chargers,NA,12,LVSun 4:25 PM,D/ST15,0,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,NA,3.6,NA,0.6,0.8,0.2,19.3,NA,NA,NA,298.7,NA,12.44,NA,FleaFlicker,0511,DST,2337,Denver Broncos,NA,12,@WASSun 8:20 PM,D/ST1,0,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.8,NA,3.3,NA,0.6,0.9,0.1,20.8,NA,NA,NA,305.9,NA,11.48,NA,FleaFlicker,0526,DST,2329,Atlanta Falcons,NA,5,@NYJSun 1:00 PM,D/ST21,0,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.8,NA,3,NA,0.6,1,0.2,22.1,NA,NA,NA,333.7,NA,10.91,NA,FleaFlicker,0507,DST,2335,Cleveland Browns,NA,9,SFSun 1:00 PM,D/ST10,0,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,NA,3,NA,0.6,0.9,0.1,20.4,NA,NA,NA,286.7,NA,10.61,NA,FleaFlicker,0509,DST,2342,Jacksonville Jaguars,NA,8,@TENSun 1:00 PM,D/ST12,0,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.6,NA,2.9,NA,0.6,0.9,0.1,22.3,NA,NA,NA,342.2,NA,10.41,NA,FleaFlicker,0525,DST,2357,Tampa Bay Buccaneers,NA,9,ARISun 1:00 PM,D/ST17,0,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
