team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
LV,1,0,1.7,41.5,0.6,0.9,0.2,18.7,18.7,0,104,308,308,10.1,10.1,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,0,3.2,47.1,0.9,1.3,0.2,21,21,0,141,359,359,9.8,9.8,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.5,0,3.2,40.9,1.1,1.4,0.2,26,26,0,132,304,304,9.6,9.6,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0,2.6,45.5,1.2,1.6,0.2,23.5,23.5,0,110,338,338,9.4,9.4,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1.1,0,2.5,45.1,0.7,1,0.2,24.7,24.7,0,136,350,350,9.3,9.3,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,3.3,44.2,0.6,0.9,0.2,25.9,25.9,0,89,334,334,9.3,9.3,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.9,0.1,2.7,47.5,0.7,1,0.2,25,25,0,151,352,352,9.3,9.3,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1,0,2.5,41.9,0.7,1,0.2,21.3,21.3,0,82,308,308,9.1,9.1,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.7,0,2.8,40.7,0.7,0.9,0.2,22.5,22.5,0,113,338,338,8.8,8.8,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.7,0,3.4,41.4,0.6,0.8,0.1,22.7,22.7,0,85,312,312,8.6,8.6,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1,0,1.5,41.7,0.9,1.3,0.2,23.9,23.9,0,83,367,367,8.5,8.5,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.4,0,2.4,41.3,0.8,1.1,0.1,22,22,0,133,321,321,7.4,7.4,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,1,0,1.6,43.3,0.7,1,0.2,32.8,32.8,0,140,404,404,6.2,6.2,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,0,2.2,43,0.5,0.7,0.1,30.6,30.6,0,132,408,408,5.4,5.4,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.6,0,1.3,47.3,0.7,0.9,0.1,29.4,29.4,0,120,399,399,4.5,4.5,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.9,NA,0.5,0.8,0.2,14.3,NA,NA,NA,306.9,NA,8.9,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.9,NA,0.6,0.7,0.2,18.5,NA,NA,NA,322.9,NA,8.7,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.3,NA,0.6,0.7,0.2,17.5,NA,NA,NA,322,NA,8.2,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3,NA,0.6,0.9,0.2,18.1,NA,NA,NA,305.6,NA,8.1,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.5,NA,0.5,0.8,0.2,17.4,NA,NA,NA,326.7,NA,8.1,NA,FantasyPros,0512,8150,Kansas City Chiefs,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.6,0.7,0.2,18.4,NA,NA,NA,322,NA,7.8,NA,FantasyPros,0531,8020,Baltimore Ravens,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.8,NA,0.6,0.9,0.2,20.7,NA,NA,NA,323.9,NA,7.4,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.8,NA,0.5,0.8,0.2,17.5,NA,NA,NA,328.1,NA,7.4,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.6,0.9,0.2,19.1,NA,NA,NA,347.8,NA,7,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2,NA,0.5,0.6,0.2,18.6,NA,NA,NA,324.7,NA,6.7,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.7,0.2,20.8,NA,NA,NA,323.4,NA,6.4,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.8,NA,0.6,0.7,0.1,22.2,NA,NA,NA,349.2,NA,6.2,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.7,0.2,23.7,NA,NA,NA,366,NA,6.1,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.5,0.8,0.2,21.1,NA,NA,NA,342.5,NA,6.1,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.5,0.8,0.2,20.8,NA,NA,NA,351.1,NA,6.1,NA,FantasyPros,0506,8060,Cincinnati Bengals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.6,1,0.2,23.1,NA,NA,NA,364.3,NA,6,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.8,0.1,23.5,NA,NA,NA,333.8,NA,6,NA,FantasyPros,0515,8260,Seattle Seahawks,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.5,0.9,0.2,24.9,NA,NA,NA,365.7,NA,6,NA,FantasyPros,0514,8250,Los Angeles Chargers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.6,0.8,0.2,20.4,NA,NA,NA,343,NA,5.9,NA,FantasyPros,0504,8180,New England Patriots,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.7,1,0.1,24.2,NA,NA,NA,351.3,NA,5.9,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.5,0.7,0.2,20.7,NA,NA,NA,317.4,NA,5.9,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.5,0.7,0.1,26.3,NA,NA,NA,360.4,NA,5.8,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.5,0.8,0.1,23.8,NA,NA,NA,359.9,NA,5.8,NA,FantasyPros,0505,8210,New York Jets,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.6,NA,0.5,0.8,0.1,22.6,NA,NA,NA,320.7,NA,5.7,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.6,0.7,0.1,28.9,NA,NA,NA,404.6,NA,5.6,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.6,0.8,0.2,22.6,NA,NA,NA,344.8,NA,5.6,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2,NA,0.6,1,0.1,29.3,NA,NA,NA,390.7,NA,5.6,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.5,0.6,0.2,21.4,NA,NA,NA,335.3,NA,5.6,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.3,NA,0.5,0.7,0.2,23.1,NA,NA,NA,364.9,NA,5.5,NA,FantasyPros,0507,8070,Cleveland Browns,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.8,NA,0.6,0.7,0.1,29.7,NA,NA,NA,401,NA,5,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.2,0.1,4,NA,1.1,NA,0.3,12.6,NA,NA,NA,260,NA,17.7,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,2,0,2.8,NA,0.5,NA,0.1,10.8,NA,NA,NA,214,NA,15.7,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,@CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.5,0.1,4.9,NA,0.7,NA,0.2,15.1,NA,NA,NA,219.5,NA,15.1,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,@NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.7,0,1.4,NA,0.3,NA,0.1,12.7,NA,NA,NA,197,NA,13.8,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.9,0.2,3.4,NA,0.4,NA,0.3,21,NA,NA,NA,288,NA,13.6,NA,FantasySharks,0504,NA,"Patriots, New England",D,@LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,0.1,3.6,NA,0.3,NA,0,12.1,NA,NA,NA,224.6,NA,13.4,NA,FantasySharks,0531,NA,"Ravens, Baltimore",D,@TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.6,0,3.2,NA,0.8,NA,0.1,17.9,NA,NA,NA,292.3,NA,13.4,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",D,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.6,0,3,NA,0.5,NA,0.3,20,NA,NA,NA,255,NA,13.3,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,@CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,0,2.1,NA,1.1,NA,0.3,18.6,NA,NA,NA,318.6,NA,12.9,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.9,0,3.5,NA,0.6,NA,0.3,24,NA,NA,NA,345,NA,12.4,NA,FantasySharks,0515,NA,"Seahawks, Seattle",D,@CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.9,0,3,NA,0.5,NA,0.2,17.4,NA,NA,NA,328.2,NA,12.3,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,@HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1,0.1,2.1,NA,0.8,NA,0.2,19.5,NA,NA,NA,320,NA,11.9,NA,FantasySharks,0532,NA,"Texans, Houston",D,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.8,0,2.2,NA,0.2,NA,0,18.9,NA,NA,NA,274.7,NA,11,NA,FantasySharks,0513,NA,"Raiders, Las Vegas",D,NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,0.3,2.3,NA,0.4,NA,0.2,20.2,NA,NA,NA,345.6,NA,10.9,NA,FantasySharks,0505,NA,"Jets, New York",D,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.9,0,2,NA,0.7,NA,0.4,23.9,NA,NA,NA,383,NA,10.5,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,@LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.6,0.1,3,NA,0.7,NA,0.1,24.4,NA,NA,NA,319.6,NA,10,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.5,0,2.6,NA,0.6,NA,0.1,26.5,NA,NA,NA,336.2,NA,9.3,NA,FantasySharks,0520,NA,"Commanders, Washington",D,@ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.5,0,2.5,NA,0.4,NA,0,18.3,NA,NA,NA,309.6,NA,9.3,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0,2.1,NA,0.2,NA,0,20.6,NA,NA,NA,319.1,NA,9.2,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0,2.6,NA,0.7,NA,0.2,25.9,NA,NA,NA,396.1,NA,9.2,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.6,0,2.9,NA,0.8,NA,0.1,25,NA,NA,NA,398.8,NA,9,NA,FantasySharks,0514,NA,"Chargers, Los Angeles",D,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.8,0,2.3,NA,0.4,NA,0.1,24.6,NA,NA,NA,382.9,NA,8.7,NA,FantasySharks,0522,NA,"Lions, Detroit",D,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.9,0,2.3,NA,0.5,NA,0.2,24,NA,NA,NA,400.5,NA,8.5,NA,FantasySharks,0506,NA,"Bengals, Cincinnati",D,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,2.6,NA,0.4,NA,0.1,28.4,NA,NA,NA,377.5,NA,7.6,NA,FantasySharks,0519,NA,"Cardinals, Arizona",D,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.4,0,1.6,NA,0.3,NA,0.1,23,NA,NA,NA,345.9,NA,7.6,NA,FantasySharks,0507,NA,"Browns, Cleveland",D,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.7,0,1.6,NA,0.6,NA,0.1,26.6,NA,NA,NA,434.5,NA,6.7,NA,FantasySharks,0525,NA,"Buccaneers, Tampa Bay",D,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.7,0,1.3,NA,0.4,NA,0,26,NA,NA,NA,350,NA,6.5,NA,FantasySharks,0521,NA,"Bears, Chicago",D,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.5,0,1.8,NA,0.3,NA,0.2,29,NA,NA,NA,384.7,NA,6.4,NA,FantasySharks,0517,NA,"Giants, New York",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,0,2,NA,0.1,NA,0.1,29.4,NA,NA,NA,395.1,NA,5.9,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.6,0,1.5,NA,0.2,NA,0.2,41.5,NA,NA,NA,526,NA,4,NA,FantasySharks,0511,NA,"Broncos, Denver",D,@KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.9,NA,3.9,NA,0.5,0.8,0.2,14.3,NA,NA,NA,307,NA,12.88,NA,FleaFlicker,0501,2331,Buffalo Bills,DST,NYGSun 8:20 PM,13,D/ST7,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.9,NA,3.9,NA,0.6,0.7,0.2,18.5,NA,NA,NA,322.9,NA,12.65,NA,FleaFlicker,0526,2329,Atlanta Falcons,DST,WASSun 1:00 PM,11,D/ST20,0,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,NA,3.8,NA,0.6,0.9,0.2,20.7,NA,NA,NA,323.9,NA,12.44,NA,FleaFlicker,0524,2345,Minnesota Vikings,DST,@CHISun 1:00 PM,13,D/ST28,0,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.8,NA,3.5,NA,0.5,0.8,0.2,17.4,NA,NA,NA,326.7,NA,11.64,NA,FleaFlicker,0512,2343,Kansas City Chiefs,DST,DENThu 8:15 PM,10,D/ST11,0,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.9,NA,3.3,NA,0.6,0.7,0.2,17.5,NA,NA,NA,322,NA,11.43,NA,FleaFlicker,0530,2355,San Francisco 49ers,DST,@CLESun 1:00 PM,9,D/ST1,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,NA,3,NA,0.6,0.9,0.2,18.1,NA,NA,NA,305.6,NA,11.28,NA,FleaFlicker,0518,2351,Philadelphia Eagles,DST,@NYJSun 4:25 PM,10,D/ST6,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,NA,2.9,NA,0.6,0.7,0.2,18.4,NA,NA,NA,322,NA,10.65,NA,FleaFlicker,0531,2330,Baltimore Ravens,DST,@TENSun 9:30 AM,13,D/ST5,0,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.8,NA,2.8,NA,0.5,0.8,0.2,17.5,NA,NA,NA,328.1,NA,10.38,NA,FleaFlicker,0503,2344,Miami Dolphins,DST,CARSun 1:00 PM,10,D/ST13,0,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.7,NA,2.8,NA,0.6,0.7,0.1,22.2,NA,NA,NA,349.2,NA,10.02,NA,FleaFlicker,0508,2358,Tennessee Titans,DST,BALSun 9:30 AM,7,D/ST26,0,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
