player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.9,NA,11465,FantasyPros,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James McCourt,K,JAC,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7.8,NA,24620,FantasyPros,16002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.7,NA,11339,FantasyPros,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.7,NA,9443,FantasyPros,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.7,NA,19760,FantasyPros,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.7,NA,9534,FantasyPros,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7.6,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.6,NA,9549,FantasyPros,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.6,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7.4,NA,16910,FantasyPros,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7.4,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7.3,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7.3,NA,13274,FantasyPros,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,DET,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.3,NA,18689,FantasyPros,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.2,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.2,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Ammendola,K,KC,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7,NA,19766,FantasyPros,15523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldrick Rosas,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,16072,FantasyPros,13241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.9,NA,14003,FantasyPros,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,6.9,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.8,NA,13731,FantasyPros,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6.8,NA,17575,FantasyPros,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.7,NA,12378,FantasyPros,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.7,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.7,NA,17533,FantasyPros,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.7,NA,24549,FantasyPros,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.7,NA,9433,FantasyPros,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAC,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.6,NA,23370,FantasyPros,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.5,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.4,NA,13029,FantasyPros,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,2.2,2.5,0,NA,0.4,NA,0.7,NA,0.5,NA,0.6,NA,2,2.1,9.7,NA,NA,FantasySharks,15368,@NYJ,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,1.9,2,0,NA,0.6,NA,0.5,NA,0.5,NA,0.3,NA,2.8,2.8,9.2,NA,NA,FantasySharks,10976,@NEP,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,2.2,2.3,0,NA,0.8,NA,0.5,NA,0.5,NA,0.3,NA,1.5,1.6,8.9,NA,NA,FantasySharks,13718,@TEN,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",K,PIT,NA,2.1,2.3,0,NA,0.5,NA,0.4,NA,0.7,NA,0.5,NA,1.6,1.8,8.8,NA,NA,FantasySharks,11936,@CLE,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,LAR,NA,1.8,2,0,NA,0.4,NA,0.7,NA,0.5,NA,0.2,NA,2.7,2.7,8.7,NA,NA,FantasySharks,14244,@ARI,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Succop, Ryan",K,TBB,NA,1.9,2.2,0,NA,0.6,NA,0.6,NA,0.7,NA,0,NA,3.1,3.3,8.6,NA,NA,FantasySharks,9686,GBP,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maher, Brett",K,DAL,NA,1.9,2,0,NA,0.3,NA,0.7,NA,0.3,NA,0.5,NA,1.8,2,8.2,NA,NA,FantasySharks,13909,@NYG,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,1.9,2.2,0,NA,0.6,NA,0.4,NA,0.4,NA,0.5,NA,1.9,1.9,8.1,NA,NA,FantasySharks,13403,@SEA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.5,1.6,0,NA,0.6,NA,0.3,NA,0.4,NA,0.1,NA,3.4,3.6,8,NA,NA,FantasySharks,14983,@MIA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.4,1.6,0.1,NA,0.2,NA,0.5,NA,0.3,NA,0.3,NA,2.9,3.1,7.6,NA,NA,FantasySharks,13354,@IND,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,NOS,NA,1.6,1.9,0,NA,0.3,NA,0.7,NA,0.5,NA,0.2,NA,2.7,2.9,7.6,NA,NA,FantasySharks,12956,@CAR,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,LAC,NA,1.6,1.9,0.1,NA,0.4,NA,0.4,NA,0.7,NA,0.1,NA,2.6,2.8,7.6,NA,NA,FantasySharks,11387,JAC,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gould, Robbie",K,SFO,NA,1.6,1.8,0,NA,0.5,NA,0.4,NA,0.5,NA,0.2,NA,2.4,2.5,7.5,NA,NA,FantasySharks,8153,@DEN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.6,1.8,0,NA,0.6,NA,0.4,NA,0.3,NA,0.3,NA,2.1,2.3,7.3,NA,NA,FantasySharks,13898,DET,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.7,1.8,0,NA,0.2,NA,0.8,NA,0.3,NA,0.5,NA,1.1,1.1,7,NA,NA,FantasySharks,9694,DAL,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.5,1.9,0,NA,0.3,NA,0.4,NA,0.6,NA,0.2,NA,2.2,2.2,6.8,NA,NA,FantasySharks,13832,BUF,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.5,1.6,0,NA,0.5,NA,0.4,NA,0.6,NA,0.1,NA,1.7,1.9,6.7,NA,NA,FantasySharks,11945,HOU,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,NEP,NA,1.4,1.6,0,NA,0.4,NA,0.4,NA,0.5,NA,0.2,NA,2,2.2,6.6,NA,NA,FantasySharks,8851,BAL,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,1.5,1.8,0,NA,0.4,NA,0.4,NA,0.5,NA,0.3,NA,1.5,1.7,6.4,NA,NA,FantasySharks,12860,@CHI,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seibert, Austin",K,DET,NA,1.3,1.5,0,NA,0.1,NA,0.6,NA,0.5,NA,0.1,NA,2.3,2.3,6.2,NA,NA,FantasySharks,14258,@MIN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.3,1.5,0,NA,0.3,NA,0.4,NA,0.4,NA,0.1,NA,2.5,2.5,6.2,NA,NA,FantasySharks,13303,@WAS,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",K,ARI,NA,1.3,1.5,0,NA,0.4,NA,0.4,NA,0.1,NA,0.3,NA,2.2,2.3,6.2,NA,NA,FantasySharks,8930,LAR,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",K,JAC,NA,1.5,1.8,0,NA,0.3,NA,0.4,NA,0.5,NA,0.3,NA,1.6,1.7,6.1,NA,NA,FantasySharks,15369,@LAC,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,DEN,NA,1.6,2,0,NA,0.5,NA,0.3,NA,0.4,NA,0.4,NA,1.5,1.6,6.1,NA,NA,FantasySharks,11947,SFO,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.3,1.4,0,NA,0.3,NA,0.8,NA,0.2,NA,0.1,NA,1.5,1.6,5.8,NA,NA,FantasySharks,13719,NOS,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,1.1,1.3,0,NA,0.1,NA,0.5,NA,0.4,NA,0.1,NA,2.3,2.5,5.8,NA,NA,FantasySharks,12437,ATL,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby, Mason",K,GBP,NA,1.1,1.4,0,NA,0.4,NA,0.4,NA,0.2,NA,0.1,NA,2.7,2.8,5.8,NA,NA,FantasySharks,8742,@TBB,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York, Cade",K,CLE,NA,1.2,1.4,0,NA,0.4,NA,0.4,NA,0.2,NA,0.2,NA,2,2.2,5.5,NA,NA,FantasySharks,15882,PIT,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zuerlein, Greg",K,NYJ,NA,1.3,1.7,0,NA,0.3,NA,0.5,NA,0.4,NA,0.2,NA,1.9,2.2,5.4,NA,NA,FantasySharks,10868,CIN,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.1,1.3,0,NA,0.4,NA,0.2,NA,0.3,NA,0.2,NA,1.3,1.6,5,NA,NA,FantasySharks,14600,PHI,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bullock, Randy",K,TEN,NA,1.2,1.5,0,NA,0.3,NA,0.5,NA,0.4,NA,0,NA,2.1,2.1,5,NA,NA,FantasySharks,10862,LVR,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nordin, Quinn",K,NEP,NA,1.1,1.3,0,NA,0.3,NA,0.3,NA,0.4,NA,0.1,NA,1.4,1.6,4.5,NA,NA,FantasySharks,15516,BAL,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,IND,NA,1.1,1.7,0,NA,0.3,NA,0.3,NA,0.5,NA,0.1,NA,2.1,2.1,4.4,NA,NA,FantasySharks,14717,KCC,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammendola, Matt",K,KCC,NA,0.9,1.3,0,NA,0.2,NA,0.5,NA,0.2,NA,0,NA,0.9,1,2.5,NA,NA,FantasySharks,15523,@IND,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,12.33,NA,4780,FleaFlicker,8851,BALSun 1:00 PM,NA,0,K15,2/1,2/2,57%,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.73,NA,14337,FleaFlicker,13898,DETSun 1:00 PM,NA,7,K16,2/2,2/2,45%,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.62,NA,9416,FleaFlicker,11387,JACSun 4:05 PM,NA,8,K17,2/2,2/2,31%,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.58,NA,14848,FleaFlicker,14244,@ARISun 4:25 PM,NA,7,K3,2/2,2/2,93%,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.55,NA,6293,FleaFlicker,9686,GBSun 4:25 PM,NA,1,K7,2/2,2/2,89%,NA,NA,NA,NA,NA,NA,NA
