team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
LAR,0.8,0,2,43.7,0.6,0.9,0.2,18.4,18.4,0,99,318,318,10,10,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1.1,0,2,43.1,1.1,1.5,0.2,22.3,22.3,0,100,356,356,9.6,9.6,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,1,0,2.4,46.5,0.8,1.1,0.2,24.3,24.3,0,145,352,352,9.2,9.2,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,0,3,46.1,0.6,0.8,0.2,21.3,21.3,0,119,325,325,9.2,9.2,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,2.1,39.9,1,1.4,0.2,24.7,24.7,0,107,357,357,9.1,9.1,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1.2,0,2.2,44.2,0.6,0.8,0.2,24.9,24.9,0,149,356,356,9,9,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,1.2,0,1.6,42.9,0.8,1.1,0.2,24.3,24.3,0,123,353,353,8.8,8.8,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,0,2.1,42.1,0.7,0.9,0.2,23.3,23.3,0,89,361,361,8.7,8.7,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,0,2.6,42,0.5,0.7,0.2,27,27,0,121,355,355,8.4,8.4,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.9,0,2.2,46.8,0.6,0.8,0.2,24.3,24.3,0,101,380,380,8.4,8.4,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,0,1.8,43.2,0.6,0.8,0.2,24.1,24.1,0,94,355,355,8.2,8.2,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,1.7,45.3,0.8,1.1,0.2,24.9,24.9,0,156,376,376,8.1,8.1,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,0,1.7,40.4,0.7,1,0.2,24.3,24.3,0,112,332,332,7.9,7.9,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.5,0,2,42.8,0.9,1.2,0.1,24.4,24.4,0,122,347,347,7.4,7.4,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.7,0,2,44.7,0.6,0.9,0.1,25.9,25.9,0,179,359,359,7.2,7.2,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.2,0,2.1,44.5,0.6,0.9,0.2,30.9,30.9,0,137,397,397,6.9,6.9,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.7,0,0.9,46.9,0.9,1.3,0.2,28.4,28.4,0,88,388,388,5.3,5.3,CBS,0526,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.6,0,1.2,46.7,0.7,0.9,0.1,31.8,31.8,0,113,392,392,4.4,4.4,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.3,NA,0.7,0.9,0.2,18.5,NA,NA,NA,294,NA,9.2,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0.1,2.7,NA,0.7,1.2,0.2,18.1,NA,NA,NA,310.3,NA,8.7,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.2,0,2.8,NA,0.6,0.8,0.2,15.4,NA,NA,NA,280.4,NA,8.7,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.3,NA,0.6,1,0.2,19.6,NA,NA,NA,318.8,NA,8.4,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.9,NA,0.6,0.9,0.2,15.7,NA,NA,NA,288.6,NA,8.1,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.6,0.9,0.2,17,NA,NA,NA,315.8,NA,7.9,NA,FantasyPros,0523,8110,Green Bay Packers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0.1,2.6,NA,0.5,0.6,0.2,16.9,NA,NA,NA,310.2,NA,7.9,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.6,NA,0.6,0.9,0.2,19,NA,NA,NA,335.1,NA,7.6,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.8,0.2,19.8,NA,NA,NA,341.6,NA,7.3,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,2.9,NA,0.6,0.9,0.2,20.1,NA,NA,NA,331.8,NA,6.9,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.4,NA,0.7,1.2,0.2,21,NA,NA,NA,355.2,NA,6.8,NA,FantasyPros,0512,8150,Kansas City Chiefs,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2.5,NA,0.5,0.8,0.2,23.4,NA,NA,NA,348,NA,6.8,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.6,NA,0.6,0.9,0.2,23.7,NA,NA,NA,361.3,NA,6.7,NA,FantasyPros,0506,8060,Cincinnati Bengals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.7,0.9,0.2,22,NA,NA,NA,337.8,NA,6.6,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.7,NA,0.6,0.9,0.2,23,NA,NA,NA,367.8,NA,6.6,NA,FantasyPros,0531,8020,Baltimore Ravens,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.4,NA,0.6,0.9,0.2,22.8,NA,NA,NA,343.1,NA,6.4,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.2,NA,0.6,0.9,0.2,24,NA,NA,NA,344.3,NA,6.3,NA,FantasyPros,0515,8260,Seattle Seahawks,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.1,NA,0.6,0.8,0.2,25,NA,NA,NA,343.7,NA,6.2,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.7,0.9,0.2,21.6,NA,NA,NA,350.7,NA,6.2,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,0.9,0.2,20,NA,NA,NA,340.8,NA,6.2,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,0.8,0.2,24.9,NA,NA,NA,357.1,NA,6,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.7,1,0.2,24.7,NA,NA,NA,350.9,NA,6,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.4,NA,0.7,1,0.1,21.5,NA,NA,NA,339.4,NA,5.9,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.5,0.8,0.2,23.6,NA,NA,NA,364.1,NA,5.9,NA,FantasyPros,0505,8210,New York Jets,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2,NA,0.6,0.7,0.1,28.6,NA,NA,NA,382.1,NA,5.9,NA,FantasyPros,0510,8240,Pittsburgh Steelers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2,NA,0.5,0.8,0.2,21.2,NA,NA,NA,347.1,NA,5.9,NA,FantasyPros,0504,8180,New England Patriots,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.7,1.1,0.2,25.8,NA,NA,NA,380.4,NA,5.9,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.6,0.8,0.2,24,NA,NA,NA,364.9,NA,5.8,NA,FantasyPros,0507,8070,Cleveland Browns,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.5,0.8,0.2,23.6,NA,NA,NA,350.7,NA,5.8,NA,FantasyPros,0514,8250,Los Angeles Chargers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.1,NA,0.6,1,0.1,24.6,NA,NA,NA,355.1,NA,5.1,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.8,NA,0.6,0.9,0.1,29.3,NA,NA,NA,384.1,NA,5.1,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.5,NA,0.6,1,0.2,27.6,NA,NA,NA,371.2,NA,4.9,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1.2,0,3.2,NA,0.8,NA,0.2,16,NA,NA,NA,270,NA,14.7,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,1,0,3,NA,0.6,NA,0.3,14,NA,NA,NA,260,NA,14.4,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,@CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.4,0,3,NA,0.2,NA,0.3,19,NA,NA,NA,288,NA,14.3,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.9,0,3.6,NA,0.8,NA,0.1,14,NA,NA,NA,222,NA,14.2,NA,FantasySharks,0523,NA,"Packers, Green Bay",D,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.4,0.2,3.5,NA,0.3,NA,0.1,14.2,NA,NA,NA,222.6,NA,14.2,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,1.2,0,3.6,NA,1,NA,0.1,17.1,NA,NA,NA,304.6,NA,13.8,NA,FantasySharks,0525,NA,"Buccaneers, Tampa Bay",D,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.6,0,2.9,NA,0.8,NA,0.4,17.9,NA,NA,NA,301.2,NA,13.2,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,@NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,0,3.2,NA,0.6,NA,0.1,19.1,NA,NA,NA,316.1,NA,12,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,@WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.6,0,2.5,NA,0.8,NA,0.3,19.5,NA,NA,NA,302.3,NA,11.9,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",D,LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.5,0.1,2.6,NA,0.7,NA,0,16.4,NA,NA,NA,268.7,NA,11.6,NA,FantasySharks,0511,NA,"Broncos, Denver",D,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,0.1,2.3,NA,0.7,NA,0.3,21.5,NA,NA,NA,325.8,NA,11.1,NA,FantasySharks,0515,NA,"Seahawks, Seattle",D,@NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.9,0,2.4,NA,0.5,NA,0.1,20,NA,NA,NA,333,NA,10.5,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.8,0,2.5,NA,0.6,NA,0.2,22.6,NA,NA,NA,342.6,NA,10.5,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,@ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.9,0.1,1.9,NA,0.5,NA,0.1,20,NA,NA,NA,306,NA,10.1,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,@DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1,0,2.6,NA,0.4,NA,0.1,26.3,NA,NA,NA,337.3,NA,10,NA,FantasySharks,0514,NA,"Chargers, Los Angeles",D,@CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1.2,0,2.1,NA,0.6,NA,0,20.2,NA,NA,NA,352.9,NA,9.9,NA,FantasySharks,0506,NA,"Bengals, Cincinnati",D,@BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,0,2.1,NA,0.3,NA,0.1,22.4,NA,NA,NA,337.8,NA,9.5,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1.1,0,1.8,NA,0.5,NA,0.2,23.8,NA,NA,NA,384.3,NA,9.2,NA,FantasySharks,0531,NA,"Ravens, Baltimore",D,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.7,0.1,2.4,NA,0.4,NA,0.1,21.4,NA,NA,NA,318.3,NA,9.1,NA,FantasySharks,0521,NA,"Bears, Chicago",D,@MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.6,0,2.4,NA,0.5,NA,0,22,NA,NA,NA,333,NA,8.6,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.5,0.1,2.2,NA,0.3,NA,0.1,23.8,NA,NA,NA,345.4,NA,8.5,NA,FantasySharks,0520,NA,"Commanders, Washington",D,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.2,0,2.5,NA,0.4,NA,0.1,27.7,NA,NA,NA,433.6,NA,8.5,NA,FantasySharks,0510,NA,"Steelers, Pittsburgh",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.8,0,1.9,NA,0.4,NA,0.2,23,NA,NA,NA,364,NA,8.5,NA,FantasySharks,0504,NA,"Patriots, New England",D,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,1.1,0,1.8,NA,0.2,NA,0.1,27.9,NA,NA,NA,371.5,NA,7.8,NA,FantasySharks,0505,NA,"Jets, New York",D,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,0,1.5,NA,0.3,NA,0.2,27.3,NA,NA,NA,377.2,NA,7.6,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,2.3,NA,0.2,NA,0.1,25.3,NA,NA,NA,405.6,NA,7.3,NA,FantasySharks,0532,NA,"Texans, Houston",D,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.6,0,1.6,NA,0.3,NA,0.1,27,NA,NA,NA,379.3,NA,7.2,NA,FantasySharks,0507,NA,"Browns, Cleveland",D,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.9,0.1,1.2,NA,0.5,NA,0.2,27.6,NA,NA,NA,422,NA,7.1,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.4,0,2,NA,0.5,NA,0,22.5,NA,NA,NA,363.9,NA,7,NA,FantasySharks,0517,NA,"Giants, New York",D,@GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.4,0.1,1.7,NA,0.4,NA,0,24,NA,NA,NA,375,NA,6.3,NA,FantasySharks,0522,NA,"Lions, Detroit",D,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
